kanji,readings,meanings
買い物,かいもの,shopping
,クラス,class
,いす,chair
犬,いぬ,dog
お土産,おみやげ,souvenir
子供,こども,child
写真,しゃしん,picture
机,つくえ,desk
手紙,てがみ,letter
猫,ねこ,cat
,メール,email
お寺,おてら,temple
公園,こうえん,park
バス停,バスてい,bus stop
病院,びょういん,hospital
本屋,ほんや,bookstore
町,まち,city
会話,かいわ,conversation
,いま,now
高校,こうこう,highschool
専攻,せんこう,major subject
午後,ごご,afternoon
午前,ごぜん,morning
電話,でんわ,telephone
友達,ともだち,friend
~年生,ねんせい,~th year in school
番号,ばんごう,number
留学生,りゅうがくせい,exchange student
,イギリス,britain
中国,ちゅうごく,china
韓国,かんこく,korea
仕事,しごと,job
医者,いしゃ,doctor
会社員,かいしゃいん,office worker
高校生,こうこうせい,highschool student
主婦,しゅふ,house wife
弁護士,べんごし,lawyer
美味しい,おいしい,delicious
豚カツ,とんカツ,pork cutlet
,メニュー,menu
鉛筆,えんぴつ,pen
鞄,かばん,bag
靴,くつ,shoes
財布,さいふ,wallet
,ノート,notebook
本,ほん,book
喫茶店,きっさてん,coffee shop
銀行,ぎんこう,bank
図書館,としょかん,library
郵便局,ゆうびんきょく,post office
,どうぞ,please; here it is
,どうも,thank you
右,みぎ,right
左,ひだり,left
前,まえ,in front
後ろ,うしろ,behind
中,なか,inside
上,うえ,on
下,した,under
近く,ちかく,near
隣,となり,"next to "
間,あいだ,between
頃,ごろ,approximate
教授,きょうじゅ,professor
バス停,バスてい,bus stop
週末,しゅうまつ,weekend
映画,えいが,movie
音楽,おんがく,music
朝ご飯,あさごはん,breakfast
お酒,おさけ,sake
お茶,おちゃ,green tea
